no,title,artist,genre
1,바라만 본다,MSG워너비(M.O.M),발라드
2,Next Level,aespa,댄스
3,신호등,이무진,록/메탈
4,Butter,방탄소년단,댄스
5,Permission to Dance,방탄소년단,댄스
6,Weekend,태연 (TAEYEON),댄스
7,헤픈 우연,헤이즈 (Heize),R&B/Soul
8,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스
9,나를 아는 사람,MSG워너비(정상동기),발라드
10,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP
11,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스
12,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul"
13,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul"
14,Dynamite,방탄소년단,댄스
15,비와 당신,이무진,"국내드라마, 록/메탈"
16,라일락,아이유,"댄스, 발라드, R&B/Soul"
17,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카"
18,좋아좋아,조정석,"국내드라마, 발라드"
19,하루만 더,빅마마,발라드
20,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈"
21,Celebrity,아이유,"댄스, 발라드, R&B/Soul"
22,운전만해 (We Ride),브레이브걸스,댄스
23,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스"
24,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합
25,상상더하기,라붐 (LABOUM),"댄스, 발라드"
26,Timeless,SG 워너비,발라드
27,멜로디,ASH ISLAND,랩/힙합
28,내 손을 잡아,아이유,"발라드, 국내드라마"
29,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul
30,넌 좋은 사람,SG 워너비,발라드
31,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP
32,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합
33,밤하늘의 별을(2020),경서,발라드
34,라라라,SG 워너비,"발라드, 댄스"
35,고백,장범준,록/메탈
36,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스"
37,난 너를 사랑해,MSG워너비,발라드
38,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합
39,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul"
40,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스
41,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드"
42,추억은 만남보다 이별에 남아,정동하,발라드
43,잠이 오질 않네요,장범준,발라드
44,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스"
45,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈
46,Blueming,아이유,록/메탈
47,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드
48,아로하,조정석,"국내드라마, 발라드"
49,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul"
50,다정히 내 이름을 부르면,경서예지,발라드
51,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),"발라드, 록/메탈, 포크/블루스"
52,봄날,방탄소년단,"랩/힙합, 발라드"
53,Off My Face,Justin Bieber,POP
54,내사람,SG 워너비,R&B/Soul
55,Coin,아이유,"댄스, 발라드, R&B/Soul"
56,가을 우체국 앞에서,김대명,"국내드라마, 발라드"
57,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul"
58,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합
59,그날에 나는 맘이 편했을까,이예준,발라드
60,2002,Anne-Marie,POP
61,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스"
62,METEOR,창모 (CHANGMO),랩/힙합
63,12:45 (Stripped),Etham,POP
64,다시 사랑할 수 있을까,백지영,발라드
65,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈"
66,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악"
67,러브(Prod.로코베리),로꼬,랩/힙합
68,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
69,허리춤,오반 (OVAN),"랩/힙합, 인디음악"
70,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악"
71,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악"
72,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악"
73,나는 너 좋아,장범준,"국내드라마, 록/메탈"
74,Memories,Maroon 5,POP
75,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드"
76,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악"
77,체념,MSG워너비(정상동기),"발라드, 댄스"
78,Bad Habits,Ed Sheeran,POP
79,이제 나만 믿어요,임영웅,성인가요
80,사실 나는 (Feat.전건호),경서예지,발라드
81,늦은 밤 너의 집 앞 골목길에서,노을,발라드
82,그냥 안아달란 말야,다비치,발라드
83,추적이는 여름 비가 되어,장범준,"발라드, 록/메탈"
84,Way Back Home (2021),런치,일렉트로니카
85,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드
86,How You Like That,BLACKPINK,댄스
87,한여름밤의 꿀 : 다시 여름,San E,랩/힙합
88,Dance Monkey,Tones And I,POP
89,힘든 건 사랑이 아니다,임창정,"발라드, 댄스"
90,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악"
91,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),발라드
92,살다가,SG 워너비,발라드
93,Paris In The Rain,Lauv,POP
94,마음을 드려요,아이유,"국내드라마, 발라드"
95,너를 만나,폴킴,발라드
96,오늘따라 더 미운 그대가,전상근,발라드
97,Love poem,아이유,록/메탈
98,Don't Start Now,Dua Lipa,POP
99,잡아줄게 (Carabiner),ASH ISLAND,랩/힙합
100,과제곡 (교수님 죄송합니다),이무진,록/메탈
