no,title,artist,genre,good
1,신호등,이무진,록/메탈,155864
2,바라만 본다,MSG워너비(M.O.M),발라드,136061
3,Next Level,aespa,댄스,183096
4,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",74304
5,Weekend,태연 (TAEYEON),댄스,102634
6,Permission to Dance,방탄소년단,댄스,151113
7,Butter,방탄소년단,댄스,233696
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,137754
9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,186636
10,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,134917
11,좋아좋아,조정석,"국내드라마, 발라드",44104
12,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",285341
13,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,88383
14,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,80965
15,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",68928
16,Dynamite,방탄소년단,댄스,420078
17,라일락,아이유,"댄스, 발라드, R&B/Soul",209576
18,비와 당신,이무진,"국내드라마, 록/메탈",68418
19,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",117031
20,Celebrity,아이유,"댄스, 발라드, R&B/Soul",294983
21,나를 아는 사람,MSG워너비(정상동기),발라드,66495
22,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",98017
23,하루만 더,빅마마,발라드,38182
24,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,102135
25,운전만해 (We Ride),브레이브걸스,댄스,126777
26,상상더하기,라붐 (LABOUM),"댄스, 발라드",119160
27,멜로디,ASH ISLAND,랩/힙합,100981
28,Timeless,SG 워너비,발라드,99912
29,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",59868
30,내 손을 잡아,아이유,"발라드, 국내드라마",163246
31,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,88844
32,비가 오는 날엔 (2021),헤이즈 (Heize),"국내드라마, 발라드",16463
33,밤하늘의 별을(2020),경서,발라드,159546
34,다정히 내 이름을 부르면,경서예지,발라드,33738
