,장르
0,OST
1,명작동화
2,클럽뮤직
3,재즈
4,댄스
5,국악가요
6,포스트록
7,국내뮤지컬
8,록
9,불교음악
10,일렉트로니카
11,성가
12,어린이
13,창작동요
14,록스타일
15,오페라
16,교향곡
17,실내악
18,협주곡
19,블루스
20,찬송가
21,얼터너티브록
22,보사노바
23,성악/합창곡
24,라틴
25,포크/블루스/컨트리
26,얼터너티브팝
27,샹송
28,R&B/Soul
29,J-Newage
30,Soul
31,브라질
32,국외CCM
33,일렉트로닉스타일
34,팝랩
35,컨트리
36,영어동화
37,풍물/사물놀이
38,태교
39,관현악
40,클래식
41,J-Jazz
42,트로트메들리
43,중국음악
44,국내드라마
45,영어동요
46,록/메탈
47,Urban
48,발라드
49,켈틱/아이리시
50,전래동요
51,민요
52,어린이/태교
53,독주곡
54,애니메이션/게임
55,포크/블루스
56,국외뮤지컬
57,월드뮤직
58,시대별 작곡가
59,하드록
60,시부야케이
61,레게
62,교과서동요
63,이지리스닝
64,뉴에이지피아노
65,포크
66,어쿠스틱스타일
67,어린이클래식
68,뉴에이지기타
69,모던록
70,R&B
71,보컬재즈
72,만화
73,국외영화
74,POP
75,East&West
76,현대음악
77,전설의트로트
78,올디스
79,발레/무용곡
80,헤비메탈
81,뉴메탈/하드코어
82,국악
83,크로스오버
84,프로그레시브/아트록
85,CCM
86,칸초네
87,J-POP
88,얼터너티브힙합
89,워십
90,Bop
91,뽕짝트로트
92,랩/힙합
93,국외드라마
94,탱고/플라멩코
95,월드팝
96,애시드/팝재즈
97,빅밴드/스윙
98,연주곡
99,국내CCM
100,언더그라운드힙합
101,갱스터/하드코어랩
102,파두
103,하우스
104,가톨릭음악
105,뉴에이지
106,창작동화
107,신세대트로트
108,자장가
109,국내영화
110,트로트
111,인디음악
112,기능성음악
113,라틴재즈
114,종교음악
115,판소리/단가
116,성인가요
