no,title,artist,genre,good
1,Pretender,Official Hige Dandism,J-POP,9690
2,여우비,제이워크,발라드,15089
3,Marigold,Aimyon,J-POP,5234
4,Harunohi,Aimyon,J-POP,3665
5,희재,성시경,"발라드, 국내영화",88868
6,반창고,MC몽,랩/힙합,23110
7,마지막 인사,BIGBANG,"댄스, 랩/힙합",50205
8,신호등,이무진,록/메탈,151119
9,문어의 꿈,안예은,댄스,17251
10,삐딱하게 (Crooked),G-DRAGON,랩/힙합,134309
11,君はロックを聽かない / Kimiwa Rock Wo Kikanai (너는 록을 듣지 않아),Aimyon,J-POP,6233
12,사랑은 타이밍,버스커 버스커,록/메탈,61047
13,So Fresh (Feat. 김태우) (위대한 캣츠비 OST 삽입곡),MC몽,랩/힙합,20907
14,해바라기,윤하 (YOUNHA),록/메탈,1910
15,추억은 만남보다 이별에 남아,정동하,발라드,53325
16,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,랩/힙합,85493
17,있잖아 (Rock Ver.),아이유,댄스,42864
18,고백,장범준,록/메탈,16364
19,회상,장범준,"발라드, 국내드라마",56076
20,I Love U Oh Thank U (Feat. 김태우 Of God),MC몽,랩/힙합,36217
21,그때 우리,우주소녀,댄스,7290
22,알았다면,장덕철,발라드,48146
23,너만이 (Feat. 헤이즈),유승우,"발라드, 인디음악",42597
24,Hello Hello,FTISLAND (FT아일랜드),록/메탈,9923
25,Bubble Love,MC몽,발라드,44804
26,못된 영화 (Feat. IVY),MC몽,랩/힙합,2037
27,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,77176
28,있어줘요,장덕철,"발라드, 인디음악",79253
29,U R,태연 (TAEYEON),발라드,120375
30,프라프치노 (Feat. 팀버),제이워크,발라드,9376
31,너에게 쓰는 편지 (Feat. 린),MC몽,랩/힙합,75075
32,빛이 되어줄게,윤하 (YOUNHA),"발라드, 국내드라마",12598
33,희망 (Original),박세아,게임,6491
34,Monologue,버즈,록/메탈,51448
35,듣고 싶던 말,허각,발라드,15340
36,우리의 꿈,코요태,록/메탈,15062
37,그날처럼,장덕철,발라드,238297
38,Butterfly,러브홀릭스,국내영화,42112
39,Always,신지,"댄스, 게임",9690
40,눈치없긴 (Feat. 유주),San E,랩/힙합,6713
41,사랑한다 외쳐요 (Feat. 미료 From 브라운 아이드 걸스),제이워크,댄스,3496
42,아름다운 구속,김종서,록/메탈,10503
43,죽을 만큼 아파서 (Feat. 멜로우),MC몽,랩/힙합,81128
44,5월의 밤,Zion.T,발라드,45166
45,BAD BOY,BIGBANG,발라드,68192
46,사랑먼지,BIGBANG,댄스,36526
47,LOVE SONG,BIGBANG,댄스,43999
48,하루 하루,BIGBANG,"댄스, 랩/힙합",79160
49,한번 더 이별,성시경,발라드,37263
50,Suddenly,제이워크,발라드,16185
